Date,CNP,F,WMT,GE,TSLA
2014-07-29,21.357718,14.355432999999998,68.691612,22.668877,225.00999500000003
2014-07-30,20.998619,14.367779,68.090645,22.83811,228.919998
2014-07-31,20.793425,14.005706,66.997963,22.401657,223.300003
2014-08-01,20.93877,13.832896,66.961563,22.579803,233.270004
2014-08-04,20.904572,14.005706,66.961563,22.508545,238.520004
2014-08-05,20.468523,13.882271,66.779442,22.285864,238.490005
2014-08-06,20.143631,13.972786,68.00762900000001,22.659971,248.929993
2014-08-07,20.417221,13.841125,67.778488,22.713409,252.389999
2014-08-08,20.801975,14.063308,68.4384,22.855928,248.130005
2014-08-11,20.827625,14.12914,68.154274,22.971724,259.320007
2014-08-12,20.853271,14.162054,68.02595500000001,22.811388,259.959991
2014-08-13,20.92062,14.334863,67.851807,23.007351,260.309998
2014-08-14,21.153742,14.343093,68.181763,23.051882,261.380005
2014-08-15,21.16238,14.244344,67.73266600000001,22.83811,262.01001
2014-08-18,21.058769,14.343093,68.273415,23.221123,259.940002
2014-08-19,21.283253,14.285489000000002,68.63089000000001,23.203308,256.76001
2014-08-20,21.352331,14.326633,68.704201,23.479429,255.710007
2014-08-21,21.317791,14.318404999999998,69.244972,23.541782,254.339996
2014-08-22,21.171013,14.12914,69.409935,23.292381,256.77999900000003
2014-08-25,21.404135,14.178513,69.373283,23.336918,262.549988
2014-08-26,21.205551,14.145596,69.21746800000001,23.167677,261.73999
2014-08-27,21.265985,14.285489000000002,69.519936,23.274565,263.25
2014-08-28,21.447306,14.334863,69.56575,23.167677,263.859985
2014-08-29,21.447306,14.326633,69.199127,23.140959,269.700012
2014-09-02,21.360966,14.482982000000002,69.428268,23.025162,284.119995
2014-09-03,21.481842,14.376005,69.666588,23.114241,281.190002
2014-09-04,21.369595,14.211427,70.17067,23.123146,286.040009
2014-09-05,21.602718,14.104451999999998,71.041389,23.247841,277.390015
2014-09-08,21.455938,13.824665,70.143173,23.23003,282.109985
2014-09-09,21.317791,13.684773000000002,70.33564,23.069702,278.480011
